unique_carrier,carrier_name_era,year_start,year_end,nation_iso2,match_method,flip_type,resolution
6B,Britannia Airways A.B.,1999,2001,SE,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('NO') and the mapped nation is held fixed at 'SE'; read as a rebrand, not a nationality flip"
6B,TUIfly Nordic A.B.,2008,2009,SE,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('NO') and the mapped nation is held fixed at 'SE'; read as a rebrand, not a nationality flip"
6R,Aerounion ( Aerotransporte de Carga Union SA de CV,2005,2007,RU,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('MX') and the mapped nation is held fixed at 'RU'; read as a rebrand, not a nationality flip"
6R,Aerounion Aerotransporte de Carga Union SA de CV,2007,2023,RU,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('MX') and the mapped nation is held fixed at 'RU'; read as a rebrand, not a nationality flip"
7H,Era Aviation,2002,2013,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
7H,"Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",2014,2019,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
7H,NEW PACIFIC AIRLINES,2024,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
7Z,Laker Airways,1992,1997,CV,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BS') and the mapped nation is held fixed at 'CV'; read as a rebrand, not a nationality flip"
7Z,Lb Limited,1997,2004,CV,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BS') and the mapped nation is held fixed at 'CV'; read as a rebrand, not a nationality flip"
9E,Pinnacle Airlines Inc.,2002,2013,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
9E,Endeavor Air Inc.,2013,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
9K,Cape Air,2002,2024,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
9K,"Hyannis Air Service, Inc. dba Cape Air",2024,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
9R,Rosenbalm Aviation Inc.,1990,1991,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
9R,Flagship Express Services,1991,1991,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ABX,Airborne Express Inc.,2002,2005,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ABX,ABX Air Inc,2005,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ADB,Antonov Design Bureau,1996,2010,UA,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'UA'; read as a rebrand, not a nationality flip"
ADB,Antonov Company,2010,2025,UA,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'UA'; read as a rebrand, not a nationality flip"
AI,Air-India,1990,2011,IN,iata,name_churn_cross_border,"unresolved — the top observed endpoint country changes across UNIQUE_CARRIER_NAME eras for this code (['GB', 'IN']) while the mapped nation is held fixed at 'IN'; candidate undetected nationality change coinciding with the rebrand, needs human review"
AI,National Aviation Company of India Limited d/b/a Air India,2011,2025,IN,iata,name_churn_cross_border,"unresolved — the top observed endpoint country changes across UNIQUE_CARRIER_NAME eras for this code (['GB', 'IN']) while the mapped nation is held fixed at 'IN'; candidate undetected nationality change coinciding with the rebrand, needs human review"
AJQ,Aerodynamics Inc.,2016,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,2017,2018,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
AZ,Alitalia-Linee Aeree Italia,1990,2008,IT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('IT') and the mapped nation is held fixed at 'IT'; read as a rebrand, not a nationality flip"
AZ,Compagnia Aerea Italiana,2009,2021,IT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('IT') and the mapped nation is held fixed at 'IT'; read as a rebrand, not a nationality flip"
AZ,Italia Transporto Aereo S.P.A DBA ITA S.P.A,2021,2025,IT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('IT') and the mapped nation is held fixed at 'IT'; read as a rebrand, not a nationality flip"
BNQ,BNJ Charter Company,2003,2004,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
BNQ,NetJets Large Aircraft Company L.L.C.,2004,2010,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
BW,British West Indian Airways,1990,2006,TT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('TT') and the mapped nation is held fixed at 'TT'; read as a rebrand, not a nationality flip"
BW,Caribbean Airlines Limited,2007,2025,TT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('TT') and the mapped nation is held fixed at 'TT'; read as a rebrand, not a nationality flip"
C5,"Commutair Aka Champlain Enterprises, Inc.",2002,2022,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
C5,CommuteAir LLC dba CommuteAir,2022,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
CDQ,Connie Kalitta Services,1990,1991,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
CDQ,American International Airways Inc.,1991,1999,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
CDQ,Kitty Hawk International,1999,2000,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
DH,Atlantic Coast Airlines,2002,2004,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
DH,Independence Air,2004,2005,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ER,DHL Airways,1992,2003,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ER,Astar Air Cargo Inc.,2003,2010,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
ER,"Astar USA, LLC",2011,2012,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
EU,Empresa Ecuatoriana De Avia,1990,1993,EC,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('EC') and the mapped nation is held fixed at 'EC'; read as a rebrand, not a nationality flip"
EU,Ecuatoriana De Aviacion,1996,2000,EC,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('EC') and the mapped nation is held fixed at 'EC'; read as a rebrand, not a nationality flip"
EV,Atlantic Southeast Airlines,2000,2011,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
EV,ExpressJet Airlines Inc.,2012,2019,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
EV,ExpressJet Airlines LLC,2019,2020,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
EXC,Hapag-Lloyd Executive GmbH,2010,2012,SE,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('DE') and the mapped nation is held fixed at 'SE'; read as a rebrand, not a nationality flip"
EXC,Hapag-Lloyd Express GmbH,2010,2010,SE,icao,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('DE') and the mapped nation is held fixed at 'SE'; read as a rebrand, not a nationality flip"
GF,Gulf Air Company,1994,1997,BH,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BH') and the mapped nation is held fixed at 'BH'; read as a rebrand, not a nationality flip"
GF,Gulf Air B.S.C. (C),2025,2025,BH,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BH') and the mapped nation is held fixed at 'BH'; read as a rebrand, not a nationality flip"
HQ,Hmy Airways Inc.,2002,2004,CA,name_exact,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
HQ,Harmony Airways,2004,2007,CA,name_exact,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
IG,Meridiana S.p.A,2010,2018,IT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('IT') and the mapped nation is held fixed at 'IT'; read as a rebrand, not a nationality flip"
IG,Airitaly S.P.A.,2018,2020,IT,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('IT') and the mapped nation is held fixed at 'IT'; read as a rebrand, not a nationality flip"
IW,Aom Minerve S.A.,1990,2001,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
IW,Air Liberte Aka Aom Minerve,2001,2002,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
JAQ,Caribbean Airline Company,1994,1994,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
JAQ,Jamaica Air Freighters,1997,1999,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
JJ,Transportes Aeros Meridiona,1998,2024,BR,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BR') and the mapped nation is held fixed at 'BR'; read as a rebrand, not a nationality flip"
JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,2024,2025,BR,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('BR') and the mapped nation is held fixed at 'BR'; read as a rebrand, not a nationality flip"
K5,Wings Of Alaska,2002,2002,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
K5,"SeaPort Airlines, Inc. d/b/a Wings of Alaska",2014,2015,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
K5,"Seaport Airlines, Inc.",2016,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
K8,Alm Antillean Airlines,1990,2002,ZM,iata,name_churn_cross_border,"unresolved — the top observed endpoint country changes across UNIQUE_CARRIER_NAME eras for this code (['AN', 'HT']) while the mapped nation is held fixed at 'ZM'; candidate undetected nationality change coinciding with the rebrand, needs human review"
K8,Dutch Caribbean Airlines,2002,2004,ZM,iata,name_churn_cross_border,"unresolved — the top observed endpoint country changes across UNIQUE_CARRIER_NAME eras for this code (['AN', 'HT']) while the mapped nation is held fixed at 'ZM'; candidate undetected nationality change coinciding with the rebrand, needs human review"
KW,Pacific Interstate Airlines,1990,1991,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
KW,Carnival Air Lines Inc.,1991,1998,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
LA,Lan-Chile Airlines,1990,2025,CL,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CL') and the mapped nation is held fixed at 'CL'; read as a rebrand, not a nationality flip"
LA,LATAM Airlines Group SA dba Lan Airlines,2025,2025,CL,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CL') and the mapped nation is held fixed at 'CL'; read as a rebrand, not a nationality flip"
LDM,Amira Air GmbH,2007,2015,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
LDM,Laudamotion GmbH,2016,2019,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
LDQ,Laudamotion Executive,2018,2020,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
LDQ,Sparfell Luftfahrt GmbH,2021,2025,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
LF,Corporate Flight Management Inc.,2014,2014,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
LF,CFM Inc d/b/a Contour Airlines,2016,2017,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
LF,Corporate Flight Management Inc.d/b/a Crystal Luxury Air,2016,2016,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,2018,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MG,MGM Grand Air Inc.,1992,1996,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MG,Champion Air,1996,2008,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MQ,Simmons Airlines,1994,1995,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MQ,American Eagle Airlines Inc.,1998,2014,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MQ,Envoy Air,2014,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
MT,Caledonian Airways,1990,1999,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
MT,Jmc,2000,2003,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
MT,Thomas Cook Airlines Uk Ltd.,2003,2019,,refused_suffix_collision,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='refused_suffix_collision'); listed for completeness only, not tested for cross-border drift."
N8,Murray Air,2005,2007,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
N8,"National Air Cargo Group, Inc. d/b/a Murray Air",2008,2013,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
N8,National Air Cargo Group Inc d/ba National Airlines,2016,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
OI,Paradise Airways,1995,1996,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
OI,Prestige Airways,1996,1997,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
OK,Czechoslovak Airlines,1990,1999,CZ,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CZ') and the mapped nation is held fixed at 'CZ'; read as a rebrand, not a nationality flip"
OK,Czech Airlines,1999,2009,CZ,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CZ') and the mapped nation is held fixed at 'CZ'; read as a rebrand, not a nationality flip"
PD,"Porter Airlines, Inc.",2008,2023,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
PD,Porter Airlines Limited (PACL),2024,2025,CA,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('CA') and the mapped nation is held fixed at 'CA'; read as a rebrand, not a nationality flip"
